country,year,risk_score,source,lower,upper
FJI,2020,0.47496299999999997,actual,,
FJI,2021,0.4832856,actual,,
FJI,2022,0.48637779999999997,actual,,
FJI,2023,0.4853612,actual,,
FJI,2024,0.48229507746778133,forecast,0.4647405057769353,0.499688940430863
FJI,2025,0.4795505354599739,forecast,0.458337414706273,0.5025063771038842
FJI,2026,0.4768059934521665,forecast,0.4487260092945437,0.5030483004061369
FJI,2027,0.47406145144435907,forecast,0.44413731466868367,0.5050242304515251
FJI,2028,0.4713169094365517,forecast,0.43606245821268796,0.5068898934964621
FJI,2029,0.46857236742874425,forecast,0.42973595634305306,0.5068671890233057
FJI,2030,0.46582782542093687,forecast,0.42327234543122466,0.5067549020915776
FJI,2031,0.4630832834131295,forecast,0.41843920451967964,0.5086411468963525
FJI,2032,0.46033874140532205,forecast,0.41379489673643727,0.5070208933054673
FJI,2033,0.45759419939751467,forecast,0.40701625914129574,0.50567787087288
FJI,2034,0.45484965738970723,forecast,0.4024611199355119,0.5058463218969034
FJI,2035,0.45210511538189985,forecast,0.39718627627597314,0.503760682146704
FJI,2036,0.4493605733740924,forecast,0.39169881803551626,0.5044153212857451
FJI,2037,0.446616031366285,forecast,0.38636988027985814,0.5026052876307103
FJI,2038,0.44387148935847764,forecast,0.38504341361990224,0.5034906068067296
FJI,2039,0.4411269473506702,forecast,0.37896580056539164,0.5048751098963881
FJI,2040,0.4383824053428628,forecast,0.3758336193855458,0.5028128515299598
FRA,1995,0.35588600000000004,actual,,
FRA,1996,0.354556,actual,,
FRA,1997,0.3521044,actual,,
FRA,1998,0.3503344,actual,,
FRA,1999,0.3497922,actual,,
FRA,2000,0.3500998,actual,,
FRA,2001,0.35038420000000003,actual,,
FRA,2002,0.3526694,actual,,
FRA,2003,0.3481714,actual,,
FRA,2004,0.3467004,actual,,
FRA,2005,0.344889,actual,,
FRA,2006,0.3364806,actual,,
FRA,2007,0.3287216,actual,,
FRA,2008,0.3283756,actual,,
FRA,2009,0.32532019999999995,actual,,
FRA,2010,0.319059,actual,,
FRA,2011,0.3172102,actual,,
FRA,2012,0.31819,actual,,
FRA,2013,0.32265279999999996,actual,,
FRA,2014,0.31743259999999995,actual,,
FRA,2015,0.3175028,actual,,
FRA,2016,0.3185044,actual,,
FRA,2017,0.321812,actual,,
FRA,2018,0.31951740000000006,actual,,
FRA,2019,0.31888099999999997,actual,,
FRA,2020,0.32630899999999996,actual,,
FRA,2021,0.31990300000000005,actual,,
FRA,2022,0.3219668,actual,,
FRA,2023,0.323234,actual,,
FRA,2024,0.32205518685466245,forecast,0.3146358676142676,0.3294065836542823
FRA,2025,0.3208886325092407,forecast,0.31121213810126575,0.33109169928407883
FRA,2026,0.3197220781638189,forecast,0.30704542313670863,0.33183247303403113
FRA,2027,0.31855552381839713,forecast,0.3045506956826643,0.332730238347932
FRA,2028,0.3173889694729754,forecast,0.30115340191707995,0.3337607894887587
FRA,2029,0.3162224151275536,forecast,0.2980148785985858,0.3339712506099444
FRA,2030,0.3150558607821318,forecast,0.2951646098025055,0.33427483658013535
FRA,2031,0.3138893064367101,forecast,0.29311182562622323,0.33566276201441375
FRA,2032,0.3127227520912883,forecast,0.2904634811402331,0.3346067681267672
FRA,2033,0.3115561977458665,forecast,0.2874399482936582,0.33463774322573797
FRA,2034,0.3103896434004448,forecast,0.2852604712697982,0.33424551557110216
FRA,2035,0.309223089055023,forecast,0.2834807971481806,0.33433120103691744
FRA,2036,0.3080565347096012,forecast,0.28074832991274207,0.33393575679381104
FRA,2037,0.30688998036417947,forecast,0.2783915312002869,0.3335454912885598
FRA,2038,0.3057234260187577,forecast,0.27764608696712406,0.3334160748587542
FRA,2039,0.3045568716733359,forecast,0.27486266674159643,0.3351681745050721
FRA,2040,0.30339031732791416,forecast,0.2737374545666444,0.3339399507074888
FSM,1995,0.6666488,actual,,
FSM,1996,0.6660988,actual,,
FSM,1997,0.6656184,actual,,
FSM,1998,0.6649554,actual,,
FSM,1999,0.6643582,actual,,
FSM,2000,0.6637082000000001,actual,,
FSM,2001,0.6623154,actual,,
FSM,2002,0.6612545999999999,actual,,
FSM,2003,0.6620268,actual,,
FSM,2004,0.6599884,actual,,
FSM,2005,0.6719664,actual,,
FSM,2006,0.6671718,actual,,
FSM,2007,0.6661686,actual,,
FSM,2008,0.6650988,actual,,
