Country,Year,Vulnerability,Readiness,Exposure,CompositeRisk
CUB,2010,0.42840612499999997,0.3969594517304189,0.497414,0.4982598943078324
CUB,2011,0.427144,0.38396359198542807,0.497414,0.5027009632058288
CUB,2012,0.42469450000000003,0.3704168178506375,0.497414,0.506649972859745
CUB,2013,0.42905325,0.3565263406193078,0.497414,0.5148214137522769
CUB,2014,0.428833875,0.34929829872495444,0.497414,0.5175810055100183
CUB,2015,0.427511625,0.3478016976320583,0.497414,0.5173862959471767
CUB,2016,0.427994,0.3580705300546448,0.497414,0.5135681879781421
CUB,2017,0.4283525,0.3741633825136612,0.497414,0.5073461469945355
CUB,2018,0.427685875,0.3701951183970856,0.497414,0.5085334776411659
CUB,2019,0.429918375,0.3649865209471767,0.497414,0.5119564166211292
CUB,2020,0.43128975,0.3555042295081967,0.497414,0.5165721581967213
CUB,2021,0.432561125,0.36711889617486343,0.497414,0.5126891165300547
CUB,2022,0.43386325000000003,0.35829856284153005,0.497414,0.5169985248633879
CUB,2023,0.433991,0.36526256284153,0.497414,0.514289574863388
CUB,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
CUB,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
CUB,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
CUB,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
CUB,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
CUB,2029,0.67873767554268,0.67873767554268,,0.535747535108536
CUB,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
CYP,1995,0.368750625,0.461161,0.340961,0.43678597500000005
CYP,1996,0.369685875,0.462024,0.340961,0.437001925
CYP,1997,0.37368425,0.4534206666666667,0.340961,0.4428422833333333
CYP,1998,0.368737875,0.44508,0.340961,0.443210725
CYP,1999,0.367209875,0.4474206666666667,0.340961,0.44135765833333335
CYP,2000,0.36916387500000003,0.4507003333333333,0.340961,0.44121819166666676
CYP,2001,0.366460375,0.456227,0.340961,0.43738542500000005
CYP,2002,0.36348274999999997,0.4646253333333334,0.340961,0.4322395166666666
CYP,2003,0.363675875,0.4750183333333333,0.340961,0.42819819166666667
CYP,2004,0.36431399999999997,0.45280866666666664,0.340961,0.43746493333333336
CYP,2005,0.36629975000000004,0.4799553333333333,0.340961,0.4277977166666667
CYP,2006,0.36354025,0.5613103333333334,0.340961,0.39360001666666666
CYP,2007,0.365997125,0.5629353333333333,0.340961,0.3944241416666666
CYP,2008,0.364788,0.5838436666666668,0.340961,0.3853353333333333
CYP,2009,0.36252,0.476941,0.340961,0.4267356
CYP,2010,0.36186524999999997,0.4768766666666666,0.340961,0.4263684833333333
CYP,2011,0.360405375,0.46634133333333333,0.340961,0.4297066916666667
CYP,2012,0.359745875,0.4956066666666667,0.340961,0.4176048583333333
CYP,2013,0.362035625,0.504808,0.340961,0.415298175
CYP,2014,0.361332875,0.5072086666666666,0.340961,0.41391625833333334
CYP,2015,0.36036125,0.5030706666666667,0.340961,0.4149884833333334
CYP,2016,0.35580425,0.4843536666666666,0.340961,0.4197410833333334
CYP,2017,0.35707325,0.49317733333333336,0.340961,0.41697301666666664
CYP,2018,0.357644,0.4850556666666666,0.340961,0.4205641333333334
CYP,2019,0.35834525,0.4883873333333333,0.340961,0.41965221666666674
CYP,2020,0.359128125,0.475747,0.340961,0.42517807500000004
CYP,2021,0.36148175,0.4793396666666667,0.340961,0.4251531833333333
CYP,2022,0.36238175,0.4840723333333334,0.340961,0.4238001166666666
CYP,2023,0.362027125,0.4776483333333334,0.340961,0.4261569416666666
CYP,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
CYP,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
CYP,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
CYP,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
CYP,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
CYP,2029,0.67873767554268,0.67873767554268,,0.535747535108536
CYP,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
CZE,1995,0.26709525,0.4268433333333333,0.273345,0.3895198166666667
CZE,1996,0.267696125,0.427573,0.273345,0.38958847500000005
CZE,1997,0.266337875,0.421317,0.273345,0.3912759250000001
CZE,1998,0.264836125,0.4178726666666666,0.273345,0.39175260833333336
CZE,1999,0.26389,0.40452099999999996,0.273345,0.39652560000000003
CZE,2000,0.26148725,0.39268966666666666,0.273345,0.39981648333333336
CZE,2001,0.260864375,0.40459466666666666,0.273345,0.3946807583333334
CZE,2002,0.25948725,0.41468166666666667,0.273345,0.3898196833333334
CZE,2003,0.258928625,0.43138633333333337,0.273345,0.38280264166666667
CZE,2004,0.258184875,0.42639266666666664,0.273345,0.38435385833333335
CZE,2005,0.25868,0.431973,0.273345,0.38241880000000006
CZE,2006,0.25829275,0.43145966666666663,0.273345,0.38239178333333335
CZE,2007,0.2573805,0.440559,0.273345,0.37820470000000006
CZE,2008,0.258178125,0.44702299999999995,0.273345,0.376097675
CZE,2009,0.25818,0.44738666666666665,0.273345,0.37595333333333336
CZE,2010,0.25580325,0.46099700000000005,0.273345,0.3690831499999999
CZE,2011,0.258326625,0.469972,0.273345,0.36700717499999996
CZE,2012,0.258856,0.472906,0.273345,0.36615119999999995
CZE,2013,0.258592875,0.485722,0.273345,0.360866925
CZE,2014,0.25861025,0.50978,0.273345,0.35125415
CZE,2015,0.258930875,0.5141626666666667,0.273345,0.3496934583333333
CZE,2016,0.25820075,0.5142293333333333,0.273345,0.34922871666666666
CZE,2017,0.25846275,0.516505,0.273345,0.34847565
CZE,2018,0.258102375,0.5085533333333333,0.273345,0.3514400916666667
CZE,2019,0.26090075,0.511588,0.273345,0.35190525
CZE,2020,0.26146,0.506834,0.273345,0.3541424
CZE,2021,0.2628735,0.5088073333333333,0.273345,0.3542011666666667
CZE,2022,0.263469375,0.5133203333333333,0.273345,0.3527534916666667
CZE,2023,0.263515625,0.5216766666666667,0.273345,0.34943870833333335
CZE,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
CZE,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
CZE,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
CZE,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
CZE,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
CZE,2029,0.67873767554268,0.67873767554268,,0.535747535108536
CZE,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
DEU,1995,0.30555224999999997,0.6322369999999999,0.34677,0.33043655
DEU,1996,0.30625325,0.6338833333333334,0.34677,0.3301986166666666
DEU,1997,0.30691875,0.6389966666666667,0.34677,0.32855258333333337
DEU,1998,0.306341625,0.644432,0.34677,0.32603217500000004
DEU,1999,0.305894875,0.6409053333333333,0.34677,0.32717479166666663
DEU,2000,0.304538,0.6388313333333334,0.34677,0.3271902666666666
DEU,2001,0.305532625,0.6433456666666667,0.34677,0.3259813083333333
DEU,2002,0.305213375,0.6506156666666666,0.34677,0.3228817583333334
DEU,2003,0.304372125,0.6514326666666667,0.34677,0.3220502083333333
DEU,2004,0.303831875,0.651358,0.34677,0.321755925
DEU,2005,0.303305,0.6560799999999999,0.34677,0.31955100000000003
DEU,2006,0.302740625,0.6892053333333333,0.34677,0.30596224166666663
DEU,2007,0.29962275,0.6915776666666668,0.34677,0.30314258333333327
DEU,2008,0.30130625,0.692577,0.34677,0.30375295
DEU,2009,0.30228975,0.689339,0.34677,0.30563825
DEU,2010,0.2975655,0.7068196666666666,0.34677,0.2958114333333334
DEU,2011,0.298287375,0.7033613333333334,0.34677,0.2976278916666667
DEU,2012,0.297321125,0.7094176666666666,0.34677,0.29462560833333334
DEU,2013,0.296236375,0.713955,0.34677,0.292159825
DEU,2014,0.296566625,0.7289666666666667,0.34677,0.28635330833333333
DEU,2015,0.295923625,0.7196423333333334,0.34677,0.28969724166666666
DEU,2016,0.294391625,0.705094,0.34677,0.294597375
DEU,2017,0.29517625,0.7054010000000001,0.34677,0.29494535
DEU,2018,0.2948505,0.711181,0.34677,0.29243790000000003
DEU,2019,0.29566587499999997,0.7075330000000001,0.34677,0.29438632499999995
DEU,2020,0.294226,0.702341,0.34677,0.2955992
DEU,2021,0.294203625,0.7013283333333334,0.34677,0.2959908416666666
DEU,2022,0.296431625,0.7051123333333335,0.34677,0.2958140416666666
DEU,2023,0.296583125,0.6937356666666666,0.34677,0.30045560833333335
DEU,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
DEU,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
DEU,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
DEU,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
DEU,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
DEU,2029,0.67873767554268,0.67873767554268,,0.535747535108536
DEU,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
DJI,1995,0.5034864126506025,0.28351,0.413077,0.5886878475903614
DJI,1996,0.5033535737951808,0.2835223333333333,0.413077,0.5886032109437751
DJI,1997,0.502801359186747,0.284995,0.413077,0.5876828155120482
DJI,1998,0.5010782477409639,0.2864276666666667,0.413077,0.5860758819779116
DJI,1999,0.5000522085843373,0.28819100000000003,0.413077,0.5847549251506023
DJI,2000,0.4994423478915663,0.28997633333333334,0.413077,0.5836748754016063
DJI,2001,0.4968812522590361,0.29055533333333333,0.413077,0.5819066180220884
DJI,2002,0.5125605143072289,0.2911803333333333,0.413077,0.591064175251004
DJI,2003,0.5185638493975904,0.2898536666666667,0.413077,0.5951968429718876
DJI,2004,0.5055472484939759,0.306996,0.413077,0.5805299490963856
DJI,2005,0.5140771159638554,0.3061973333333334,0.413077,0.5859673362449799
DJI,2006,0.5131222040662651,0.25664899999999996,0.413077,0.6052137224397591
DJI,2007,0.5104925188253012,0.266536,0.413077,0.5996811112951808
DJI,2008,0.5006800481927711,0.2886596666666667,0.413077,0.5849441622489959
DJI,2009,0.49797021159638555,0.287047,0.413077,0.5839633269578313
DJI,2010,0.4922933998493976,0.27169366666666667,0.413077,0.5866985732429718
DJI,2011,0.48778989457831323,0.26507866666666663,0.413077,0.5866424700803212
DJI,2012,0.5030327643072289,0.26266233333333333,0.413077,0.5967547252510039
DJI,2013,0.49641976957831324,0.2585216666666667,0.413077,0.5944431950803213
DJI,2014,0.49763876054216866,0.2766946666666667,0.413077,0.5879053896586345
DJI,2015,0.508537295933735,0.275721,0.413077,0.5948339775602409
DJI,2016,0.5024695911144579,0.2718856666666667,0.413077,0.592727488002008
DJI,2017,0.49631180120481927,0.28961166666666666,0.413077,0.5819424140562249
DJI,2018,0.4822075609939759,0.2850183333333333,0.413077,0.5753172032630522
DJI,2019,0.4787353185240964,0.283484,0.413077,0.5738475911144578
DJI,2020,0.48328811671686744,0.293788,0.413077,0.5724576700301205
DJI,2021,0.4985853546686747,0.29019766666666663,0.413077,0.5830721461345383
DJI,2022,0.49180799999999997,0.291697,0.413077,0.578406
DJI,2023,0.4926183418674699,0.29302,0.413077,0.5783630051204819
DJI,2024,0.6749182784877817,0.6749182784877817,,0.5349836556975563
DJI,2025,0.6753111707189013,0.6753111707189013,,0.5350622341437803
DJI,2026,0.6766027789990383,0.6766027789990382,,0.5353205557998078
DJI,2027,0.6770391082811629,0.6770391082811629,,0.5354078216562326
DJI,2028,0.6782645666388174,0.6782645666388175,,0.5356529133277634
DJI,2029,0.67873767554268,0.67873767554268,,0.535747535108536
DJI,2030,0.6799036146487839,0.6799036146487839,,0.5359807229297567
DMA,1995,0.4465066532421799,0.4544977619047619,0.368598,0.4861048871834032
DMA,1996,0.4479638694836834,0.4551103846153846,0.368598,0.4867341678440562
