Country,Year,Indicator,Value
AFG,2015,CompositeRisk,0.6435735025602409
AFG,2016,Capacity,0.716347
AFG,2016,Economic,0.261156
AFG,2016,Ecosystems,0.509198
AFG,2016,Food,0.592013
AFG,2016,Governance,0.070942
AFG,2016,Habitat,0.534673
AFG,2016,Health,0.801845
AFG,2016,Infrastructure,0.3268397289156627
AFG,2016,Sensitivity,0.442936
AFG,2016,Social,0.347348
AFG,2016,Water,0.504288
AFG,2016,Exposure,0.480512
AFG,2016,Vulnerability,0.5535174661144578
AFG,2016,Readiness,0.226482
AFG,2016,CompositeRisk,0.6415176796686748
AFG,2017,Capacity,0.710364
AFG,2017,Economic,0.238742
AFG,2017,Ecosystems,0.509198
AFG,2017,Food,0.617105
AFG,2017,Governance,0.073276
AFG,2017,Habitat,0.533804
AFG,2017,Health,0.806221
AFG,2017,Infrastructure,0.3176624096385542
AFG,2017,Sensitivity,0.465357
AFG,2017,Social,0.350261
AFG,2017,Water,0.502818
AFG,2017,Exposure,0.480512
AFG,2017,Vulnerability,0.5578161762048193
AFG,2017,Readiness,0.2207596666666667
AFG,2017,CompositeRisk,0.6463858390562249
AFG,2018,Capacity,0.706065
AFG,2018,Economic,0.21024
AFG,2018,Ecosystems,0.509198
AFG,2018,Food,0.605161
AFG,2018,Governance,0.079531
AFG,2018,Habitat,0.533109
AFG,2018,Health,0.807338
AFG,2018,Infrastructure,0.3126724879518072
AFG,2018,Sensitivity,0.461523
AFG,2018,Social,0.353833
AFG,2018,Water,0.501348
AFG,2018,Exposure,0.480512
AFG,2018,Vulnerability,0.5545518109939759
AFG,2018,Readiness,0.21453466666666668
AFG,2018,CompositeRisk,0.6469172199297188
AFG,2019,Capacity,0.665179
AFG,2019,Economic,0.224049
AFG,2019,Ecosystems,0.509143
AFG,2019,Food,0.588475
AFG,2019,Governance,0.098747
AFG,2019,Habitat,0.533171
AFG,2019,Health,0.808552
AFG,2019,Infrastructure,0.3047025481927711
AFG,2019,Sensitivity,0.449375
AFG,2019,Social,0.355365
AFG,2019,Water,0.499876
AFG,2019,Exposure,0.480512
AFG,2019,Vulnerability,0.5448091935240964
AFG,2019,Readiness,0.22605366666666668
AFG,2019,CompositeRisk,0.6364640494477911
AFG,2020,Capacity,0.664318
AFG,2020,Economic,0.213706
AFG,2020,Ecosystems,0.509088
AFG,2020,Food,0.586918
AFG,2020,Governance,0.081719
AFG,2020,Habitat,0.533323
AFG,2020,Health,0.783843
AFG,2020,Infrastructure,0.2945109337349397
AFG,2020,Sensitivity,0.436215
AFG,2020,Social,0.35519
AFG,2020,Water,0.498405
AFG,2020,Exposure,0.480512
AFG,2020,Vulnerability,0.5383276167168675
AFG,2020,Readiness,0.21687166666666666
AFG,2020,CompositeRisk,0.6362479033634538
AFG,2021,Capacity,0.663219
AFG,2021,Economic,0.213706
AFG,2021,Ecosystems,0.509674
AFG,2021,Food,0.584701
AFG,2021,Governance,0.160154
AFG,2021,Habitat,0.533605
AFG,2021,Health,0.805105
AFG,2021,Infrastructure,0.2961188373493976
AFG,2021,Sensitivity,0.446293
AFG,2021,Social,0.354151
AFG,2021,Water,0.496915
AFG,2021,Exposure,0.480512
AFG,2021,Vulnerability,0.5419538546686747
AFG,2021,Readiness,0.24267033333333332
AFG,2021,CompositeRisk,0.6281041794678716
AFG,2022,Capacity,0.673553
AFG,2022,Economic,0.213706
AFG,2022,Ecosystems,0.509272
AFG,2022,Food,0.582235
AFG,2022,Governance,0.15293
AFG,2022,Habitat,0.533947
AFG,2022,Health,0.817798
AFG,2022,Infrastructure,0.2989759999999999
AFG,2022,Sensitivity,0.451613
AFG,2022,Social,0.354768
AFG,2022,Water,0.495727
AFG,2022,Exposure,0.480512
AFG,2022,Vulnerability,0.545390125
AFG,2022,Readiness,0.240468
AFG,2022,CompositeRisk,0.631046875
