country,indicator,model,mae,shared_order
BHS,Water,arima,0.00022178704461766062,
BIH,Capacity,ets,0.0047290872917810315,
BIH,Economic,ets,0.00556342566973167,
BIH,Ecosystems,arima,0.0014504884663882112,
BIH,Exposure,ets,0.0,
BIH,Food,ets,0.001982166416376008,
BIH,Governance,ets,0.0077130336773675754,
BIH,Habitat,arima,0.0007464977987641896,
BIH,Health,arima,0.004158290900319372,
BIH,Infrastructure,ets,0.001925052257842791,
BIH,Sensitivity,arima,0.00685112753366991,
BIH,Social,arima,0.008281255584122248,
BIH,Water,arima,0.0004851585495707411,
BLR,Capacity,ets,0.014971829443516715,
BLR,Economic,ets,0.0634880970206972,
BLR,Ecosystems,arima,0.0014648571975512726,
BLR,Exposure,ets,6.661338147750939e-17,
BLR,Food,arima_shared_order,0.004433243928294761,"(2, 0, 0)"
BLR,Governance,arima,0.044154898401219486,
BLR,Habitat,arima_shared_order,0.00371998045918579,"(2, 0, 1)"
BLR,Health,ets,0.002106460198761417,
BLR,Infrastructure,ets,0.03405293834030852,
BLR,Sensitivity,arima_shared_order,0.002902928152961515,"(2, 0, 0)"
BLR,Social,arima_shared_order,0.01580676510426231,"(2, 0, 0)"
BLR,Water,ets,0.0005212690141571108,
BLZ,Capacity,arima,0.007859169600620363,
BLZ,Economic,ets,0.005057735062222979,
BLZ,Ecosystems,arima_shared_order,0.019304533394023736,"(2, 0, 0)"
BLZ,Exposure,arima,0.0,
BLZ,Food,arima_shared_order,0.006276539261975622,"(2, 0, 0)"
BLZ,Governance,ets,0.009487243846636063,
BLZ,Habitat,ets,0.0035284208920094095,
BLZ,Health,arima,0.0032153168800025276,
BLZ,Infrastructure,ets,0.005455264673393956,
BLZ,Sensitivity,arima,0.005615871769461256,
BLZ,Social,ets,0.0025026909471677072,
BLZ,Water,arima_shared_order,0.0014626438018536469,"(2, 0, 0)"
BOL,Capacity,arima,0.006679087043596899,
BOL,Economic,ets,0.004899887249620915,
BOL,Ecosystems,ets,1.3695330958940488e-05,
BOL,Exposure,ets,0.0,
BOL,Food,ets,0.0026360148711591425,
BOL,Governance,ets,0.040637541505573214,
BOL,Habitat,ets,0.006860113179531635,
BOL,Health,arima_shared_order,0.009295473924028085,"(2, 0, 0)"
BOL,Infrastructure,arima_shared_order,0.020889619678211242,"(2, 0, 0)"
BOL,Sensitivity,arima_shared_order,0.002873572402292646,"(2, 0, 0)"
BOL,Social,ets,0.003370694532562246,
BOL,Water,ets,3.9567288427655446e-05,
BRA,Capacity,arima_shared_order,0.002418749059256764,"(2, 0, 0)"
BRA,Economic,ets,0.016251070276560496,
BRA,Ecosystems,ets,0.0003841422493711111,
BRA,Exposure,ets,1.1102230246251565e-16,
BRA,Food,ets,0.001549690999328468,
BRA,Governance,ets,0.0142614492523226,
BRA,Habitat,ets,0.002298717811680584,
BRA,Health,arima,0.018858979979616698,
BRA,Infrastructure,arima,0.0037219492855823265,
BRA,Sensitivity,arima,0.0006185798224664863,
BRA,Social,ets,0.005349446958767467,
BRA,Water,arima_shared_order,0.0002921047856358383,"(2, 0, 0)"
BRB,Capacity,ets,0.017187161540925523,
BRB,Economic,ets,0.008986642761856966,
BRB,Ecosystems,ets,0.003631509725605664,
BRB,Exposure,arima,0.0,
BRB,Food,ets,0.01845932713012215,
BRB,Governance,ets,0.026679836121009527,
BRB,Habitat,arima_shared_order,0.00026345804572656115,"(2, 0, 1)"
BRB,Health,arima_shared_order,0.0012980194980435566,"(2, 0, 0)"
BRB,Infrastructure,arima,0.006161589368986869,
BRB,Sensitivity,ets,0.0014574013832177157,
BRB,Social,ets,0.12636461026151546,
BRB,Water,arima,0.00022178704461766062,
BRN,Capacity,arima_shared_order,0.004178315849857639,"(2, 0, 0)"
BRN,Economic,ets,0.05314796780685908,
BRN,Ecosystems,arima_shared_order,0.012142536240225165,"(2, 0, 0)"
BRN,Exposure,ets,4.4408920985006264e-17,
BRN,Food,ets,0.008529039811185612,
BRN,Governance,ets,0.07857909136553881,
BRN,Habitat,ets,0.009883980300873962,
BRN,Health,ets,0.002237684861806166,
BRN,Infrastructure,ets,0.0,
BRN,Sensitivity,arima_shared_order,0.0036007407425708293,"(2, 0, 0)"
BRN,Social,arima_shared_order,0.04892233083765272,"(2, 0, 0)"
BRN,Water,arima_shared_order,1.2472918042194526e-05,"(2, 0, 0)"
BTN,Capacity,ets,0.0066413630146181955,
BTN,Economic,arima_shared_order,0.013775203736678353,"(2, 0, 0)"
BTN,Ecosystems,arima,0.0014305034040736464,
BTN,Exposure,arima,0.0,
BTN,Food,ets,0.0017229808465920372,
BTN,Governance,ets,0.018297561470985463,
BTN,Habitat,arima_shared_order,0.009693740468545075,"(2, 0, 1)"
BTN,Health,arima_shared_order,0.01870088782980932,"(2, 0, 0)"
BTN,Infrastructure,ets,0.005455264673393956,
BTN,Sensitivity,arima_shared_order,0.00836862353555975,"(2, 0, 0)"
BTN,Social,ets,0.0033823238090530117,
BTN,Water,arima_shared_order,0.0017495509169110023,"(2, 0, 0)"
BWA,Capacity,arima,0.023787568985145537,
BWA,Economic,ets,0.011742096331784978,
BWA,Ecosystems,ets,0.0025714026461680197,
BWA,Exposure,ets,0.0,
BWA,Food,ets,0.002499226940059218,
BWA,Governance,ets,0.01497378545643604,
BWA,Habitat,ets,0.007226319028027106,
BWA,Health,ets,0.0075648277804407195,
BWA,Infrastructure,arima,0.04192838987217773,
BWA,Sensitivity,ets,0.00423234721095842,
BWA,Social,ets,0.0037469755143678674,
BWA,Water,arima,0.00047920537424407384,
CAF,Capacity,arima,0.02157326937898376,
CAF,Economic,ets,0.018185837430604933,
CAF,Ecosystems,ets,0.0002999421276287939,
CAF,Exposure,ets,6.661338147750939e-17,
CAF,Food,ets,0.014368827746473588,
CAF,Governance,ets,0.005549763619835613,
CAF,Habitat,arima_shared_order,0.01660177725422296,"(2, 0, 1)"
CAF,Health,arima_shared_order,0.00956304545226463,"(2, 0, 0)"
CAF,Infrastructure,ets,0.005455264673393956,
CAF,Sensitivity,arima_shared_order,0.005742197213539591,"(2, 0, 0)"
CAF,Social,arima,0.0020019749986162514,
CAF,Water,ets,0.00017736863275004123,
CAN,Capacity,arima,0.00985277245255477,
CAN,Economic,arima,0.004364665204379359,
CAN,Ecosystems,arima,0.0007690052672311709,
CAN,Exposure,ets,4.4408920985006264e-17,
CAN,Food,arima_shared_order,0.0010357435176254703,"(2, 0, 0)"
CAN,Governance,ets,0.025376993176930363,
CAN,Habitat,arima,0.009899294050694873,
CAN,Health,ets,0.0011003040807746444,
CAN,Infrastructure,ets,1.959734479875519e-06,
CAN,Sensitivity,ets,0.0011461311339888702,
CAN,Social,ets,0.010794807023554776,
CAN,Water,arima_shared_order,8.07132497991081e-05,"(2, 0, 0)"
CHE,Capacity,ets,0.0038584009697366917,
CHE,Economic,arima,0.004045982261369619,
CHE,Ecosystems,ets,0.0014772560228499987,
CHE,Exposure,ets,3.3306690738754695e-17,
CHE,Food,ets,0.0022968307078399474,
CHE,Governance,ets,0.009593313202987213,
CHE,Habitat,arima_shared_order,0.003426924720778812,"(2, 0, 1)"
CHE,Health,arima_shared_order,0.0007541361539946445,"(2, 0, 0)"
CHE,Infrastructure,ets,0.018966273454013007,
CHE,Sensitivity,ets,0.0018629305480734938,
CHE,Social,arima_shared_order,0.024772360254287952,"(2, 0, 0)"
CHE,Water,ets,0.0003190960496355144,
CHL,Capacity,arima_shared_order,0.0019749003153716415,"(2, 0, 0)"
CHL,Economic,arima,0.008251502030287516,
CHL,Ecosystems,arima,0.0008096069468280342,
CHL,Exposure,ets,6.661338147750939e-17,
CHL,Food,arima,0.0031037830114556465,
CHL,Governance,ets,0.02347730027349404,
CHL,Habitat,arima_shared_order,0.006100217954761256,"(2, 0, 1)"
CHL,Health,arima_shared_order,0.04194996482867312,"(2, 0, 0)"
CHL,Infrastructure,arima,0.07022029044438452,
CHL,Sensitivity,ets,0.0021145732916989456,
CHL,Social,arima,0.01368441310111983,
CHL,Water,arima,0.00022783923589744237,
CHN,Capacity,ets,0.0026249351873998904,
CHN,Economic,arima,0.13308414784556843,
CHN,Ecosystems,ets,0.0005975621754030547,
CHN,Exposure,ets,0.0,
CHN,Food,arima,0.0011770934736052064,
CHN,Governance,ets,0.05300538298166217,
CHN,Habitat,ets,0.007347426317115602,
CHN,Health,arima_shared_order,0.007702077143735974,"(2, 0, 0)"
CHN,Infrastructure,arima_shared_order,0.0009133048705336821,"(2, 0, 0)"
CHN,Sensitivity,ets,0.0023001712640051907,
CHN,Social,ets,0.013480615668000384,
CHN,Water,ets,0.000535459597607757,
CIV,Capacity,arima,0.0036127197040642933,
CIV,Economic,ets,0.04514808698865005,
CIV,Ecosystems,arima,0.0009705053159384635,
CIV,Exposure,ets,0.0,
CIV,Food,ets,0.004921602730252305,
CIV,Governance,ets,0.02518061324860903,
CIV,Habitat,arima_shared_order,0.0049494513319469306,"(2, 0, 1)"
CIV,Health,ets,0.011215853710575341,
CIV,Infrastructure,arima,0.0041101391344981085,
CIV,Sensitivity,ets,0.008742152276623737,
CIV,Social,ets,0.005466618411654389,
CIV,Water,arima,0.0011318143467615837,
CMR,Capacity,arima,0.002787552557975648,
CMR,Economic,ets,0.008676675419675761,
CMR,Ecosystems,arima,0.0014443976997769003,
CMR,Exposure,ets,0.0,
CMR,Food,ets,0.003832127689840048,
CMR,Governance,ets,0.006239898594435633,
CMR,Habitat,arima_shared_order,0.0023891710412990543,"(2, 0, 1)"
CMR,Health,arima_shared_order,0.012936446230373998,"(2, 0, 0)"
CMR,Infrastructure,ets,0.0046914823216897775,
CMR,Sensitivity,arima,0.00412731618132448,
CMR,Social,arima_shared_order,0.0018324393384105742,"(2, 0, 0)"
CMR,Water,arima_shared_order,0.00017714658792182813,"(2, 0, 0)"
COD,Capacity,ets,0.0020315915173009236,
COD,Economic,ets,0.0031983042281046093,
COD,Ecosystems,arima,0.0021956673955116023,
COD,Exposure,arima,0.0,
COD,Food,arima,0.006281374832291187,
COD,Governance,arima,0.0008710035779979641,
COD,Habitat,arima,0.0006297333635347125,
COD,Health,ets,0.004768647174689078,
COD,Infrastructure,ets,0.0008265668523870894,
COD,Sensitivity,ets,0.0025720872896105806,
COD,Social,ets,0.006439825235193241,
COD,Water,arima,0.00023521686778185113,
COG,Capacity,ets,0.0022404533623354263,
COG,Economic,ets,0.014329901795361488,
COG,Ecosystems,arima,0.0006507011678611007,
COG,Exposure,ets,4.4408920985006264e-17,
COG,Food,ets,0.018715759659904373,
COG,Governance,ets,0.014654573751941458,
COG,Habitat,ets,0.0002857833961848133,
COG,Health,arima,0.012199096243295116,
COG,Infrastructure,ets,0.00031498208244120084,
COG,Sensitivity,arima,0.007086943977544368,
COG,Social,ets,0.002658218244213506,
COG,Water,ets,0.00020820882426869636,
COL,Capacity,ets,0.027395977516989724,
COL,Economic,ets,0.005354035276017055,
COL,Ecosystems,ets,0.0007232959044042086,
COL,Exposure,ets,1.1102230246251565e-16,
COL,Food,arima,0.001739196195341608,
COL,Governance,arima_shared_order,0.0098086632065725,"(2, 0, 0)"
COL,Habitat,ets,0.0017410077447018945,
COL,Health,arima_shared_order,0.001516950965356978,"(2, 0, 0)"
COL,Infrastructure,ets,0.052204735009516015,
COL,Sensitivity,arima_shared_order,0.0014264965071208446,"(2, 0, 0)"
COL,Social,arima,0.009280953862767994,
COL,Water,ets,0.0004015451075917942,
COM,Capacity,ets,0.005195749591669907,
COM,Economic,ets,0.008609094577898092,
COM,Ecosystems,arima_shared_order,0.0032858494790063975,"(2, 0, 0)"
COM,Exposure,ets,6.661338147750939e-17,
COM,Food,ets,0.05033108369922405,
COM,Governance,arima_shared_order,0.07294523144559133,"(2, 0, 0)"
COM,Habitat,ets,0.004871010121359975,
COM,Health,ets,0.05318771478639066,
COM,Infrastructure,arima,0.009394318944615409,
COM,Sensitivity,ets,0.015561153443713737,
COM,Social,ets,0.005753381368507893,
COM,Water,arima,0.00022178704461766062,
CPV,Capacity,ets,0.002250500892665719,
CPV,Economic,ets,0.004521716977232071,
CPV,Ecosystems,arima,0.0032928389638965496,
CPV,Exposure,ets,0.0,
CPV,Food,ets,0.026455257324997806,
CPV,Governance,arima_shared_order,0.022783452445714947,"(2, 0, 0)"
CPV,Habitat,arima,0.002030478190586993,
CPV,Health,arima_shared_order,0.014422686850745792,"(2, 0, 0)"
CPV,Infrastructure,ets,0.0025682483314175665,
CPV,Sensitivity,arima_shared_order,0.008771917804097251,"(2, 0, 0)"
CPV,Social,ets,0.0037141760438356374,
CPV,Water,ets,0.013694400000104134,
CRI,Capacity,ets,0.009927121462595922,
CRI,Economic,arima,0.00846902760617727,
CRI,Ecosystems,ets,0.0013831807700458777,
CRI,Exposure,ets,0.0,
CRI,Food,ets,0.004163513390427531,
CRI,Governance,arima_shared_order,0.022201063124463703,"(2, 0, 0)"
CRI,Habitat,arima,0.0006400318293158902,
CRI,Health,ets,0.004947116466602108,
CRI,Infrastructure,ets,0.007249677576596581,
CRI,Sensitivity,ets,0.0027582806570045416,
CRI,Social,ets,0.0059731014787289816,
CRI,Water,arima_shared_order,0.00019905982071318772,"(2, 0, 0)"
CUB,Capacity,ets,0.002317909711511379,
CUB,Economic,arima,0.0006162301638132472,
CUB,Ecosystems,ets,0.0006438936637455095,
CUB,Exposure,ets,6.661338147750939e-17,
CUB,Food,ets,0.01640651357327163,
CUB,Governance,ets,0.03986971285014449,
CUB,Habitat,arima,0.0021813147090948837,
CUB,Health,ets,0.0022760699850385537,
CUB,Infrastructure,arima,0.011505263366779117,
CUB,Sensitivity,ets,0.01587842834590898,
CUB,Social,ets,0.0067837813909807695,
CUB,Water,ets,0.0004560497833287491,
CYP,Capacity,arima,0.0025322125700491306,
CYP,Economic,ets,0.004464581422601388,
CYP,Ecosystems,ets,0.0014279822012566168,
CYP,Exposure,ets,5.551115123125783e-17,
CYP,Food,ets,0.006287325025937251,
CYP,Governance,ets,0.029803557633497135,
CYP,Habitat,arima_shared_order,0.0035189897479736667,"(2, 0, 1)"
CYP,Health,arima_shared_order,0.0035517691648381698,"(2, 0, 0)"
CYP,Infrastructure,ets,8.631974489026195e-06,
CYP,Sensitivity,arima_shared_order,0.0030882718659496987,"(2, 0, 0)"
CYP,Social,ets,0.007338927958331976,
CYP,Water,arima,0.004178638308867655,
CZE,Capacity,arima,0.005437231730166891,
CZE,Economic,arima,0.004531965136417205,
CZE,Ecosystems,arima_shared_order,0.001100127367824133,"(2, 0, 0)"
CZE,Exposure,ets,6.661338147750939e-17,
CZE,Food,arima_shared_order,0.0018573830783883195,"(2, 0, 0)"
CZE,Governance,ets,0.0321745210593974,
CZE,Habitat,ets,0.01953075745570071,
CZE,Health,ets,0.0017052465016065,
CZE,Infrastructure,ets,0.006965920883766063,
CZE,Sensitivity,ets,0.003805600205888898,
CZE,Social,ets,0.022905594104406225,
CZE,Water,ets,0.0017344242270621647,
DEU,Capacity,arima_shared_order,0.0018318859825884105,"(2, 0, 0)"
DEU,Economic,arima_shared_order,0.003404169331603801,"(2, 0, 0)"
DEU,Ecosystems,ets,0.0005280396379135022,
DEU,Exposure,ets,0.0,
DEU,Food,ets,0.0013830113903113227,
DEU,Governance,arima_shared_order,0.018309395189964377,"(2, 0, 0)"
DEU,Habitat,ets,0.0018402868527692129,
DEU,Health,ets,0.0027239312149039017,
DEU,Infrastructure,ets,0.004225312939800075,
DEU,Sensitivity,arima,0.002786244371942781,
DEU,Social,ets,0.002876149815052165,
DEU,Water,arima,0.0019825116859175096,
DJI,Capacity,arima,0.001451505209140036,
DJI,Economic,arima_shared_order,0.023216724869562964,"(2, 0, 0)"
DJI,Ecosystems,ets,0.0009380356745458229,
DJI,Exposure,arima,0.0,
DJI,Food,ets,0.005879576673665099,
DJI,Governance,ets,0.01699817267876207,
DJI,Habitat,arima,0.00404171172680814,
DJI,Health,arima,0.02747473498362816,
DJI,Infrastructure,ets,0.005455264673393956,
DJI,Sensitivity,ets,0.013106930143540496,
DJI,Social,arima,0.005312301929672358,
DJI,Water,ets,9.995865586642783e-10,
DMA,Capacity,arima_shared_order,0.002519260361688702,"(2, 0, 0)"
DMA,Economic,ets,0.027576621349904507,
DMA,Ecosystems,arima_shared_order,0.002230391914493057,"(2, 0, 0)"
DMA,Exposure,ets,5.551115123125783e-17,
DMA,Food,ets,0.006779583583544646,
DMA,Governance,arima_shared_order,0.004968061809572632,"(2, 0, 0)"
DMA,Habitat,arima,0.0009390632782862119,
DMA,Health,ets,0.030509777435976815,
DMA,Infrastructure,ets,0.005455264673393956,
