,Country,Indicator,Order,AIC,BIC
169,BEN,Economic,"(2, 0, 1)",-137.59703159492165,-130.7605524449893
170,BEN,Ecosystems,"(2, 0, 0)",-222.39522437578074,-216.92604105583484
171,BEN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
172,BEN,Food,"(1, 0, 0)",-170.5927456129732,-166.4908581230138
173,BEN,Governance,"(1, 0, 0)",-113.85914524758574,-109.75725775762632
174,BEN,Habitat,"(2, 0, 0)",-260.71854776095813,-255.24936444101223
175,BEN,Health,"(0, 1, 0)",-137.68474278230605,-136.35253827213083
176,BEN,Infrastructure,"(2, 0, 1)",-188.13255407423358,-181.29607492430122
177,BEN,Readiness,"(1, 0, 0)",-160.70371632189975,-156.60182883194034
178,BEN,Sensitivity,"(2, 0, 0)",-160.64178515027749,-155.1726018303316
179,BEN,Social,"(1, 0, 1)",-255.84053618972206,-250.37135286977616
180,BEN,Vulnerability,"(1, 0, 0)",-238.8389525259025,-234.7370650359431
181,BEN,Water,"(2, 0, 3)",-552.2973657166726,-542.7262949067673
182,BFA,Capacity,"(2, 0, 1)",-222.56099975619534,-215.72452060626298
183,BFA,Economic,"(1, 0, 0)",-116.60149021846253,-112.4996027285031
184,BFA,Ecosystems,"(2, 0, 0)",-209.97247337442835,-204.50329005448245
185,BFA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
186,BFA,Food,"(3, 0, 3)",-185.57572806859235,-174.63736142870056
187,BFA,Governance,"(2, 0, 1)",-143.1548859918589,-136.31840684192653
188,BFA,Habitat,"(3, 0, 1)",-242.59701511742932,-234.39324013751047
189,BFA,Health,"(0, 1, 0)",-152.92132709274443,-151.58912258256922
190,BFA,Infrastructure,"(0, 1, 0)",-167.92369699180304,-166.59149248162782
191,BFA,Readiness,"(2, 0, 1)",-160.97454228800405,-154.1380631380717
192,BFA,Sensitivity,"(2, 0, 3)",-184.94225499385414,-175.37118418394883
193,BFA,Social,"(2, 0, 0)",-298.9919103368991,-293.5227270169532
194,BFA,Vulnerability,"(2, 0, 0)",-224.0322741251858,-218.5630908052399
195,BFA,Water,"(3, 1, 0)",-355.1817872353206,-349.8529691946198
196,BGD,Capacity,"(1, 0, 3)",-145.6531709833066,-137.44939600338776
197,BGD,Economic,"(0, 1, 0)",-32.17161344553014,-30.83940893535494
198,BGD,Ecosystems,"(1, 0, 0)",-299.352225493211,-295.25033800325156
199,BGD,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
200,BGD,Food,"(1, 0, 0)",-140.53328428294802,-136.4313967929886
201,BGD,Governance,"(3, 0, 1)",-120.71563363304193,-112.51185865312308
202,BGD,Habitat,"(2, 0, 1)",-259.4707991625329,-252.63432001260054
203,BGD,Health,"(1, 0, 1)",-170.3682937241473,-164.8991104042014
204,BGD,Infrastructure,"(1, 0, 0)",-113.36364438227784,-109.26175689231842
205,BGD,Readiness,"(2, 0, 1)",-94.53814976189275,-87.70167061196038
206,BGD,Sensitivity,"(3, 0, 0)",-194.8220666117206,-187.98558746178824
207,BGD,Social,"(2, 0, 1)",-272.47427029615864,-265.6377911462263
208,BGD,Vulnerability,"(1, 0, 0)",-196.64635012472868,-192.54446263476927
209,BGD,Water,"(2, 0, 0)",-398.380122233913,-392.91093891396713
210,BGR,Capacity,"(0, 0, 3)",-150.11668866280093,-143.28020951286857
211,BGR,Economic,"(1, 0, 1)",-180.90949106854202,-175.44030774859613
212,BGR,Ecosystems,"(2, 0, 1)",-222.15185094570197,-215.3153717957696
213,BGR,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
214,BGR,Food,"(1, 0, 0)",-243.1766511252953,-239.0747636353359
215,BGR,Governance,"(0, 0, 3)",-159.02872566575775,-152.1922465158254
216,BGR,Habitat,"(1, 0, 1)",-218.54280890210973,-213.07362558216383
217,BGR,Health,"(2, 0, 1)",-234.93863456036863,-228.10215541043627
218,BGR,Infrastructure,"(0, 0, 3)",-114.80313833513323,-107.96665918520085
219,BGR,Readiness,"(1, 0, 3)",-196.71897104174073,-188.51519606182188
220,BGR,Sensitivity,"(2, 0, 0)",-227.02169114640685,-221.55250782646095
221,BGR,Social,"(0, 1, 0)",-152.56058909250322,-151.228384582328
222,BGR,Vulnerability,"(0, 0, 3)",-204.52845644731104,-197.69197729737868
223,BGR,Water,"(1, 1, 1)",-265.2749124295293,-261.2782988990037
224,BHR,Capacity,"(2, 0, 0)",-249.94278764329562,-244.47360432334972
225,BHR,Economic,"(1, 0, 1)",-87.3276299888794,-81.8584466689335
226,BHR,Ecosystems,"(1, 0, 0)",-272.6086951903637,-268.50680770040424
227,BHR,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
228,BHR,Food,"(2, 0, 0)",-197.64256905205835,-192.17338573211245
229,BHR,Governance,"(1, 0, 0)",-115.64582764678852,-111.5439401568291
230,BHR,Habitat,"(2, 0, 0)",-217.23179986767215,-211.76261654772625
231,BHR,Health,"(1, 0, 0)",-332.37693431422457,-328.27504682426513
232,BHR,Infrastructure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
233,BHR,Readiness,"(1, 0, 1)",-140.82125536224876,-135.35207204230286
234,BHR,Sensitivity,"(2, 0, 0)",-241.07388046479733,-235.60469714485143
235,BHR,Social,"(0, 1, 1)",-165.4946649475979,-162.8302559272475
236,BHR,Vulnerability,"(2, 0, 1)",-290.68266506926807,-283.8461859193357
237,BHR,Water,"(2, 0, 0)",-644.2177732050038,-638.748589885058
238,BHS,Capacity,"(2, 0, 1)",-278.16193572632363,-271.3254565763913
239,BHS,Economic,"(1, 0, 1)",-76.32950209484358,-70.86031877489768
240,BHS,Ecosystems,"(1, 0, 0)",-278.9250739612795,-274.82318647132007
241,BHS,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
242,BHS,Food,"(0, 0, 3)",-235.28438402146872,-228.44790487153637
243,BHS,Governance,"(1, 0, 1)",-166.0056167102139,-160.536433390268
244,BHS,Habitat,"(1, 0, 1)",-263.244543110439,-257.7753597904931
245,BHS,Health,"(1, 0, 0)",-263.13551302926174,-259.0336255393023
246,BHS,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
247,BHS,Readiness,"(0, 0, 1)",-140.42076062565903,-136.31887313569962
248,BHS,Sensitivity,"(1, 0, 0)",-260.70291822481244,-256.601030734853
249,BHS,Social,"(2, 0, 1)",-196.4053381461933,-189.56885899626093
250,BHS,Vulnerability,"(1, 0, 0)",-293.3080613693412,-289.20617387938177
251,BHS,Water,"(3, 0, 0)",-385.30468628388934,-378.468207133957
252,BIH,Capacity,"(1, 1, 0)",-229.108447626256,-226.4440386059056
253,BIH,Economic,"(2, 0, 0)",-146.53660716974892,-141.06742384980302
254,BIH,Ecosystems,"(1, 0, 0)",-257.46848119632267,-253.36659370636326
255,BIH,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
256,BIH,Food,"(1, 0, 0)",-223.67754095128697,-219.57565346132756
257,BIH,Governance,"(2, 0, 0)",-157.04660728869717,-151.57742396875128
258,BIH,Habitat,"(2, 0, 2)",-222.10830496714414,-213.9045299872253
259,BIH,Health,"(0, 1, 0)",-190.87085103532397,-189.53864652514875
260,BIH,Infrastructure,"(0, 0, 2)",-186.0379119385427,-180.5687286185968
261,BIH,Readiness,"(2, 0, 0)",-193.98364826901144,-188.51446494906554
262,BIH,Sensitivity,"(0, 0, 2)",-202.52232054164557,-197.05313722169967
263,BIH,Social,"(0, 1, 1)",-191.66307806347615,-188.99866904312574
264,BIH,Vulnerability,"(3, 0, 0)",-253.34196861117778,-246.50548946124542
265,BIH,Water,"(2, 0, 0)",-384.83961163958816,-379.37042831964226
266,BLR,Capacity,"(0, 1, 3)",-203.6300770588184,-198.30125901811758
267,BLR,Economic,"(1, 1, 0)",-101.25660636301224,-98.59219734266183
268,BLR,Ecosystems,"(2, 0, 0)",-231.77265148484304,-226.30346816489714
269,BLR,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
270,BLR,Food,"(2, 0, 0)",-246.2415445673442,-240.7723612473983
271,BLR,Governance,"(0, 0, 3)",-124.00062504905108,-117.16414589911871
272,BLR,Habitat,"(2, 0, 0)",-233.11205986009344,-227.64287654014754
273,BLR,Health,"(2, 0, 0)",-253.88467694313277,-248.41549362318688
274,BLR,Infrastructure,"(3, 1, 0)",-150.79325219799185,-145.46443415729104
275,BLR,Readiness,"(2, 0, 2)",-153.9485954934208,-145.74482051350196
276,BLR,Sensitivity,"(3, 0, 0)",-240.4447657010033,-233.60828655107093
277,BLR,Social,"(1, 1, 0)",-123.16235117521391,-120.49794215486351
278,BLR,Vulnerability,"(0, 1, 3)",-241.5477649660476,-236.21894692534678
279,BLR,Water,"(2, 0, 1)",-272.12183151304714,-265.2853523631148
280,BLZ,Capacity,"(1, 0, 0)",-146.0109956227068,-141.90910813274738
281,BLZ,Economic,"(1, 1, 0)",-112.36554489656245,-109.70113587621205
282,BLZ,Ecosystems,"(3, 0, 0)",-245.98706913214772,-239.15058998221537
283,BLZ,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
284,BLZ,Food,"(1, 0, 0)",-135.21910312238379,-131.11721563242438
285,BLZ,Governance,"(0, 0, 1)",-131.11825199881122,-127.0163645088518
286,BLZ,Habitat,"(2, 1, 0)",-278.63922839254684,-274.6426148620212
287,BLZ,Health,"(1, 0, 1)",-165.72063897899446,-160.25145565904856
288,BLZ,Infrastructure,"(1, 0, 3)",-245.09271251144173,-236.88893753152288
289,BLZ,Readiness,"(1, 0, 0)",-163.48982984294608,-159.38794235298667
290,BLZ,Sensitivity,"(2, 0, 0)",-183.6071628182907,-178.1379794983448
291,BLZ,Social,"(3, 0, 1)",-212.79427179169218,-204.59049681177333
292,BLZ,Vulnerability,"(1, 0, 0)",-205.10668283588402,-201.0047953459246
293,BLZ,Water,"(1, 0, 0)",-230.75807520839635,-226.65618771843694
294,BOL,Capacity,"(1, 0, 0)",-185.55014279207404,-181.44825530211463
295,BOL,Economic,"(2, 0, 0)",-168.15821316770578,-162.68902984775988
296,BOL,Ecosystems,"(2, 0, 1)",-277.2962898830238,-270.45981073309144
297,BOL,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
298,BOL,Food,"(1, 0, 0)",-228.76323007184888,-224.66134258188947
299,BOL,Governance,"(2, 0, 3)",-128.13635915478278,-118.56528834487746
300,BOL,Habitat,"(1, 0, 1)",-270.00819345980767,-264.5390101398618
301,BOL,Health,"(1, 0, 0)",-190.14202521676134,-186.04013772680193
302,BOL,Infrastructure,"(1, 0, 0)",-147.058072793855,-142.95618530389558
303,BOL,Readiness,"(0, 0, 1)",-202.27611504534434,-198.17422755538493
304,BOL,Sensitivity,"(0, 1, 0)",-222.78066813876345,-221.44846362858823
305,BOL,Social,"(0, 1, 0)",-166.95419933124023,-165.62199482106502
306,BOL,Vulnerability,"(1, 0, 3)",-254.75556610795803,-246.55179112803918
307,BOL,Water,"(2, 0, 0)",-536.9296675926215,-531.4604842726757
308,BRA,Capacity,"(2, 1, 0)",-241.16728894557318,-237.17067541504755
309,BRA,Economic,"(1, 0, 0)",-86.3908047380929,-82.28891724813347
310,BRA,Ecosystems,"(1, 0, 0)",-320.78176836067365,-316.6798808707142
311,BRA,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
312,BRA,Food,"(1, 0, 1)",-245.30535300989948,-239.83616968995358
313,BRA,Governance,"(1, 0, 0)",-133.00030817527778,-128.89842068531837
314,BRA,Habitat,"(1, 0, 1)",-242.7703683130679,-237.301184993122
315,BRA,Health,"(3, 0, 2)",-206.9706688521773,-197.399598042272
316,BRA,Infrastructure,"(1, 0, 1)",-210.3898952585639,-204.920711938618
317,BRA,Readiness,"(1, 0, 0)",-136.28386359327192,-132.1819761033125
318,BRA,Sensitivity,"(2, 0, 1)",-259.3569445894827,-252.52046543955032
319,BRA,Social,"(3, 0, 0)",-237.53504941983687,-230.6985702699045
320,BRA,Vulnerability,"(2, 0, 1)",-292.9154904895407,-286.0790113396083
321,BRA,Water,"(1, 0, 1)",-264.44448038815693,-258.97529706821103
322,BRB,Capacity,"(1, 0, 0)",-148.6859157519657,-144.58402826200629
323,BRB,Economic,"(1, 0, 0)",-57.93905832298221,-53.83717083302279
324,BRB,Ecosystems,"(1, 0, 1)",-226.95717872431527,-221.48799540436937
325,BRB,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
326,BRB,Food,"(1, 0, 0)",-128.7626260674877,-124.66073857752828
327,BRB,Governance,"(0, 0, 2)",-121.68914444873423,-116.21996112878833
328,BRB,Habitat,"(2, 0, 1)",-301.98941503600753,-295.15293588607517
329,BRB,Health,"(1, 0, 0)",-204.06819729915523,-199.96630980919582
330,BRB,Infrastructure,"(1, 0, 0)",-302.2968160517587,-298.19492856179926
331,BRB,Readiness,"(0, 0, 2)",-112.07975013046114,-106.61056681051524
332,BRB,Sensitivity,"(1, 0, 0)",-215.94154324813329,-211.83965575817388
333,BRB,Social,"(1, 1, 3)",-109.60197293790716,-102.94095038703114
334,BRB,Vulnerability,"(1, 0, 0)",-216.5701102852595,-212.46822279530008
335,BRB,Water,"(3, 0, 0)",-385.30468628388934,-378.468207133957
336,BRN,Capacity,"(1, 0, 0)",-178.97030734895898,-174.86841985899957
337,BRN,Economic,"(1, 0, 0)",-76.95275253080604,-72.85086504084661
338,BRN,Ecosystems,"(0, 0, 3)",-232.39507322929336,-225.558594079361
339,BRN,Exposure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
340,BRN,Food,"(2, 0, 3)",-175.97545189931736,-166.40438108941206
341,BRN,Governance,"(0, 1, 0)",-101.02776447959661,-99.69555996942141
342,BRN,Habitat,"(2, 0, 0)",-211.88813035360133,-206.41894703365543
343,BRN,Health,"(1, 0, 0)",-205.71693873281689,-201.61505124285748
344,BRN,Infrastructure,"(0, 1, 0)",-689.2990575720246,-687.9668530618494
