Country,Year,Feature,SHAP_Value
MEX,2026,Ecosystems,-0.0026842276600003647
MEX,2027,Ecosystems,-0.0026010740358602684
MEX,2028,Ecosystems,-0.002669020217562684
MEX,2029,Ecosystems,-0.002799262619008051
MEX,2030,Ecosystems,-0.0028244049984040053
MEX,2031,Ecosystems,-0.002847817468790468
MEX,2032,Ecosystems,-0.0028154059298749357
MEX,2033,Ecosystems,-0.0026593937114944336
MEX,2034,Ecosystems,-0.002571952847749037
MEX,2035,Ecosystems,-0.0025136705108928905
MEX,2036,Ecosystems,-0.0024202734368026493
MEX,2037,Ecosystems,-0.002333105154284818
MEX,2038,Ecosystems,-0.0023591099441032303
MEX,2039,Ecosystems,-0.0023032888572021362
MEX,2040,Ecosystems,-0.0022610144781007114
MHL,1995,Ecosystems,6.678203054600424e-05
MHL,1996,Ecosystems,5.8646022860049554e-05
MHL,1997,Ecosystems,4.688676537566692e-05
MHL,1998,Ecosystems,-0.0001239012792674315
MHL,1999,Ecosystems,-0.00015780285124776137
MHL,2000,Ecosystems,-0.00012002779144772754
MHL,2001,Ecosystems,-0.0001789155507755844
MHL,2002,Ecosystems,-0.00021002683941859842
MHL,2003,Ecosystems,-0.0002547428904258748
MHL,2004,Ecosystems,-0.0003331520738589065
MHL,2005,Ecosystems,-0.0003413612052962601
MHL,2006,Ecosystems,-0.004016413255824569
MHL,2007,Ecosystems,-0.004016045158562003
MHL,2008,Ecosystems,-0.004376448544208692
MHL,2009,Ecosystems,-0.004464003062393687
MHL,2010,Ecosystems,-0.004645076705042082
MHL,2011,Ecosystems,-0.008606757116310525
MHL,2012,Ecosystems,-0.0092392505125096
MHL,2013,Ecosystems,-0.01086173641724238
MHL,2014,Ecosystems,-0.010418269003441479
MHL,2015,Ecosystems,-0.010241006022697636
MHL,2016,Ecosystems,-0.0072804150303043885
MHL,2017,Ecosystems,-0.007977918845918164
MHL,2018,Ecosystems,-0.007336906627221398
MHL,2019,Ecosystems,-0.0073405734483738645
MHL,2020,Ecosystems,-0.007106168196717089
MHL,2021,Ecosystems,-0.007115599985802692
MHL,2022,Ecosystems,-0.0065806328387261435
MHL,2023,Ecosystems,-0.006587778583941804
MHL,2024,Ecosystems,-0.0065855143391788645
MHL,2025,Ecosystems,-0.006723117688399713
MHL,2026,Ecosystems,-0.006706589060629714
MHL,2027,Ecosystems,-0.006676799443026691
MHL,2028,Ecosystems,-0.0067889528141821835
MHL,2029,Ecosystems,-0.006827265393656027
MHL,2030,Ecosystems,-0.006838340505533521
MHL,2031,Ecosystems,-0.006868565478479815
MHL,2032,Ecosystems,-0.006872804591552907
MHL,2033,Ecosystems,-0.0068462428568290745
MHL,2034,Ecosystems,-0.006868040513652175
MHL,2035,Ecosystems,-0.006907155350247675
MHL,2036,Ecosystems,-0.006923224972334095
MHL,2037,Ecosystems,-0.006973724763910688
MHL,2038,Ecosystems,-0.0069227816188829954
MHL,2039,Ecosystems,-0.0068976298965080915
MHL,2040,Ecosystems,-0.006902723448706109
MKD,1995,Ecosystems,-0.004115028143648658
MKD,1996,Ecosystems,-0.0036464759484643745
MKD,1997,Ecosystems,-0.00331754432773133
MKD,1998,Ecosystems,-0.002667719709081768
MKD,1999,Ecosystems,-0.0033901654349456243
